id,clockCycles,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_84,1473,775,7126,5291,2553,100.00,100.00,100.00,100.00,1.901,0.207,0.278,0.577
values_30,3916,1543,15294,11003,4977,100.00,100.00,100.00,100.00,2.538,0.256,0.356,0.787
values_96,60,103,634,563,990,100.00,100.00,87.50,100.00,0.583,0.095,0.107,0.061
values_15,14,27,115,117,118,100.00,100.00,87.50,100.00,0.519,0.122,0.120,0.119
values_16,1521,775,7126,5291,2553,100.00,100.00,100.00,100.00,1.963,0.213,0.287,0.596
values_94,2551,1033,9829,7193,3372,100.00,100.00,100.00,100.00,2.470,0.260,0.355,0.757
values_90,6428,2425,24961,17681,7728,100.00,100.00,100.00,100.00,2.651,0.258,0.364,0.832
values_52,4235,1657,16531,11861,5334,100.00,100.00,100.00,100.00,2.556,0.256,0.357,0.794
values_78,1289,553,4855,3677,1842,100.00,100.00,100.00,100.00,2.331,0.265,0.351,0.700
values_20,5643,2153,21959,15613,6882,100.00,100.00,100.00,100.00,2.621,0.257,0.361,0.820
values_53,5221,2023,20530,14627,6477,100.00,100.00,100.00,100.00,2.581,0.254,0.357,0.806
values_43,2302,943,8880,6527,3087,100.00,100.00,100.00,100.00,2.441,0.259,0.353,0.746
values_42,391,331,2715,2117,9718,100.00,100.00,100.00,100.00,1.181,0.144,0.185,0.040
values_0,5558,2567,26534,18763,8169,100.00,100.00,100.00,100.00,2.165,0.209,0.296,0.680
values_61,2559,1033,9829,7193,3372,100.00,100.00,100.00,100.00,2.477,0.260,0.356,0.759
values_97,242,217,1609,1313,4077,100.00,100.00,100.00,100.00,1.115,0.150,0.184,0.059
values_14,1321,553,4855,3677,1842,100.00,100.00,100.00,100.00,2.389,0.272,0.359,0.717
values_87,3073,1225,11871,8621,3978,100.00,100.00,100.00,100.00,2.509,0.259,0.356,0.772
values_50,2038,857,7979,5893,2814,100.00,100.00,100.00,100.00,2.378,0.255,0.346,0.724
values_83,548,425,3581,2761,14101,100.00,100.00,100.00,100.00,1.289,0.153,0.198,0.039
values_67,112,137,911,781,1705,100.00,100.00,100.00,100.00,0.818,0.123,0.143,0.066
values_86,5550,2567,26534,18763,8169,100.00,100.00,100.00,100.00,2.162,0.209,0.296,0.679
values_23,43,51,272,255,345,100.00,100.00,100.00,100.00,0.843,0.158,0.169,0.125
values_64,2559,1033,9829,7193,3372,100.00,100.00,100.00,100.00,2.477,0.260,0.356,0.759
values_44,447,367,3016,2351,10800,100.00,100.00,100.00,100.00,1.218,0.148,0.190,0.041
values_71,1668,697,6321,4721,2304,100.00,100.00,100.00,100.00,2.393,0.264,0.353,0.724
values_93,1092,487,4194,3203,1629,100.00,100.00,100.00,100.00,2.242,0.260,0.341,0.670
